id,birthdate,gender,lastname,firstname,address,zip,guardian,comment
0104909995,4/1/1990,M,Mosebryggersen,Sverre Test,"Testgrusgraven 3, 3.tv",3400,0108629996,Søn af May June Moberg & Schwendlund Mosebryggersen. Tvilling med Torre
0104909989,4/1/1990,M,Mosebryggersen,Torre Test,"Testgrusgraven 3, 3.tv",3400,0108629996,Søn af May June Moberg & Schwendlund Mosebryggersen. Tvilling med Sverre
0107729995,7/1/1972,M,Berggren,Max Test,Testervej 18,6200,,Søn af Nancy
0108589995,8/1/1958,M,Mosebryggersen,Schwendlund Test,"Testgrusgraven 3, 3.tv",3400,,"Gift med May June Moberg. Sønnerne Odd & Knut, Datteren Sille, Tvillingerne Sverre & Torre"
0108629996,8/1/1962,K,Moberg,May June Test,"Testgrusgraven 3, 3.tv",3400,,"Gift med Schwendlund Mosebryggersen. Sønnerne Odd & Knut, Datteren Sille, Tvillingerne Sverre & Torre"
0201609995,1/2/1960,M,Lauridsen,Einer Test,"Testgrusgraven 3, 3.th",3400,,"Gift med Lonni. Tvillinger Magnus & Rasmus, Trillinger Else & Ellen & E K"
0201609996,1/2/1960,K,Lauridsen ,Lonni Test,"Testgrusgraven 3, 3.th",3400,,"Gift med Einer. Tvillinger Magnus & Rasmus, Trillinger Else & Ellen & E K"
0201919990,1/2/1991,K,Lauridsen,Else Test,"Testgrusgraven 3, 1.th",3400,,Datter af Lonni & Einer Lauridsen. Trilling med EK & Ellen
0201919995,1/2/1991,M,Lauridsen,EK Test,"Testgrusgraven 3, 2.th",3400,,Søn af Lonni & Einer Lauridsen. Trilling med Ellen & Else
0201919996,1/2/1991,K,Lauridsen,Ellen Louise Test,"Testgrusgraven 3, 5.th",3400,,Datter af Lonni & Einer Lauridsen. Trilling med EK & Else
0211223989,11/2/1922,M,Berggren,Åge Test,Testvænget 1,8000,2512489996,Far til Nancy
0212159995,12/2/2015,M,Vestergaard,Bo Test,Testvejen 251,9970,,
0504909989,4/5/1990,M,Lauridsen,Rasmus Test,"Testgrusgraven 3, 2.th",3400,,Søn af Lonni & Einer Lauridsen. Tvilling med Magnus
0504909995,4/5/1990,M,Lauridsen,Magnus Test,"Testgrusgraven 3, 10.th",3400,,Søn af Lonni & Einer Lauridsen. Tvilling med Rasmus
0506889996,6/5/1988,K,Mosebrygersen,Sille June Test,"Testgrusgraven 3, 3.tv",3400,,Datter af May June Moberg & Schwendlund Mosebryggersen
1007059995,7/10/2005,M,Abdul,Muhammed Test,TestHøjen 5,5900,,
1110109996,10/11/2010,K,Jørgensen,Juliane Test,TestVardevej 350,6800,,
1310169995,10/13/2016,M,Levendefødt,Dreng Test,,,,
1310169996,10/13/2016,K,Levendefødt,Pige Test,,,,
1502779995,2/15/1977,M,Berggren,Ruddi Test,Testjulianevej 3,8000,,Søn af Nancy
1502799995,2/15/1979,M,Mosebryggersen,Odd Haugen Test,"Testgrusgraven 3, 3.tv",3400,,Søn af May June Moberg & Schwendlund Mosebryggersen
1502829995,2/15/1982,M,Mosebryggersen,Knut Odvar Test,"Testgrusgraven 3, 3.tv",3400,,Søn af May June Moberg & Schwendlund Mosebryggersen
1509819996,9/15/1981,K,Berggren,Brita Test,Testpark Allé 48,3400,2512489996,Datter af Nancy
2103009996,3/21/2000,K,Hansen,Kaja Test,Testsøjlerne 4,6200,,
2311143995,11/23/1914,M,Østergård,Cæcar Test,Testhjemmet 1,5230,,"Markeret som ""Afdød"" på nspop DTG service "
2509479989,9/25/1947,M,Elmer,Bruno Test,Testdrømmehaven 48,3400,,Bror til Nancy
2512489996,12/25/1948,K,Berggren,Nancy Ann Test,Testpark Allé 48,3400,,Sønnerne Max og Ruddi. Døtrene Kirsten og Britta.
2911829996,11/29/1982,K,Berggren,Kirsten Test,Testpark Allé 48,3400,,Datter af Nancy
3001749995,1/30/1974,M,Vendelboe,Niels Test,Testkajen 2,9210,,
3103979995,3/31/1997,M,Jensen,Anders Test,Testtorvet 7,4700,,
